名字,类型,注册地点,利率,上线时间,注册资金,存管方式,债权转让,投标保障,保障模式,评分
中融投,国资参股中军国储物资有限公司占有平台26.50%股份,广东·深圳,11.59%,2014-12-19,6900万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,不可转让,-,融资性担保公司,4.8
钱香,民营系,上海·浦东,9.49%,2015-08-18,1600万元,用户资金存管存管机构为江西银行,不可转让,存货抵押，核心企业担保，同业担保，融资性担保公司担保,存货抵押，核心企业担保，同业担保，融资性担保公司担保,4.1
沙小僧,民营系,北京·朝阳,11.66%,2016-03-31,5000万元（实缴资金：5000万元）,用户资金存管存管机构为新网银行,1个月,第三方担保公司债权优先回购,小贷公司,3.4
雪山贷,民营系,上海·浦东,10.27%,2013-03-01,6000万元,用户资金存管存管机构为厦门国际银行,不可转让,-,-,4
车易贷,民营系,广东·惠州,14.32%,2014-05-18,3000万元（实缴资金：1800万元）,深圳前海股权交易中心股权代码665948,支持,6个月,-,3.5
玺鉴,民营系,上海·黄浦,8.65%,2015-03-02,2500万元,无存管,不可转让,第三方支付八大银行保险,艺术品质押,3.7
财小主,民营系,山东·烟台,11.08%,2016-09-01,5000万元（实缴资金：5000万元）,用户资金存管存管机构为恒丰银行,不可转让,风险准备金,平台垫付,3.7
小微时贷,民营系,福建·福州,13.36%,2015-01-01,5000万元,用户资金存管存管机构为江西银行,1个月,平台垫付,-,3.8
一起好,风投系,湖北·武汉,13.42%,2012-09-28,2010万元,用户资金存管存管机构为徽商银行,随时,逾期次日10:00本息垫付,第三方支付,3.5
银票网,风投系,上海·长宁,8.08%,2014-08-08,10000万元（实缴资金：5000万元）,用户资金存管存管机构为上海银行,1个月,银行承兑汇票到期由承兑银行刚性兑付,银行刚性兑付、保理公司及银华财富汇资产管理有限公司,3.3
微车融,民营系,北京·海淀,16.59%,2014-10-10,3000万元（实缴资金：3000万元）,无存管,不可转让,-,小贷公司,3.5
小九金服,民营系,浙江·杭州,11.51%,2015-10-29,3001万元,用户资金存管存管机构为江西银行,随时,风险准备金,小贷公司、平台垫付、保险公司、保理,3.8
福银票号,民营系,上海·浦东,6.64%,2014-11-19,3000万元,用户资金存管存管机构为上海华瑞银行,不可转让,-,融资性担保公司,3.7
168金服,民营系,福建·福州,10.1%,2013-12-31,3000万元,用户资金存管存管机构为厦门国际银行,3个月,车辆抵押，家电现货抵押,风险准备金,3.5
投米网,民营系,北京·朝阳,8.6%,2014-05-29,1000万元,无存管,随时,风险金本息保障,-,2.4
智融会,民营系,广东·深圳,11.51%,2013-11-25,5000万元（实缴资金：5000万元）,用户资金存管存管机构为江西银行,不可转让,风险备用金计划,-,3.2
信和贷,民营系,福建·福州,14.76%,2013-02-04,5000万元（实缴资金：5000万元）,用户资金存管存管机构为厦门国际银行,1个月,-,融资性担保公司、平台垫付,4
绿化贷,国资控股内蒙古霍林河煤业集团有限责任公司持有平台51%股份,广东·深圳,11.62%,2015-04-28,5000万元,用户资金存管存管机构为上海银行,1个月,合作机构担保,小贷公司、融资性担保公司、平台垫付,4.2
猴子理财,民营系,浙江·杭州,10.26%,2015-10-10,5001万元（实缴资金：100万元）,用户资金存管存管机构为天津金城银行,不可转让,平台垫付,-,4
丰汇金融,国资参股乌鲁木齐昌河融资担保有限公司持有平台10%股份,新疆·乌鲁木齐,10.6%,2015-02-05,10000万元（实缴资金：10000万元）,无存管,3个月,-,融资性担保公司,3.5
金投手,国资参股北京粮油交易所有限责任公司等持有平台53%股份,北京·海淀,5.07%,2015-06-06,5000万元（实缴资金：5000万元）,用户资金存管存管机构为浙商银行,1个月,-,保险公司、保理公司、国控保理公司承诺回购,2.5
国泰·惠民益贷,国资参股苏州国泰睿承德资产管理有限公司持有平台10%股份,上海·浦东,11.04%,2015-04-30,10000万元（实缴资金：10000万元）,无存管,3个月,-,融资性担保公司,3.7
相融网,民营系,北京·朝阳,9.61%,2016-03-30,1215万元（实缴资金：1165万元）,用户资金存管存管机构为海口联合农商银行,不可转让,-,-,4.2
沪商财富,风投系,上海·浦东,14.17%,2014-06-18,1250万元（实缴资金：1136万元）,用户资金存管存管机构为江西银行,1个月,逾期担保账户代偿,-,4.1
前海惠农,国资参股国本（上海）国际物流有限公司持有平台20%股份,广东·深圳,8.8%,2016-01-01,5000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,不可转让,-,-,3.2
前金融,国资控股深圳市前海君泽供应链管理有限公司持有平台99%股份,广东·深圳,12.52%,2017-07-10,8000万元（实缴资金：8000万元）,无存管,不可转让,第三方担保,融资性担保公司,3.6
立业贷,风投系,广东·深圳,11.77%,2014-02-10,2222万元（实缴资金：2222万元）,用户资金存管存管机构为江西银行,1个月,足值抵押,小贷公司、平台垫付、保险公司、融资租赁,3.7
中兴财富,民营系,湖北·武汉,15.68%,2015-03-18,5200万元（实缴资金：5010万元）,用户资金存管存管机构为徽商银行,随时,合作机构担保,融资性担保公司,3.6
渝金所,民营系,广东·深圳,10.82%,2014-10-15,10000万元（实缴资金：10000万元）,用户资金存管存管机构为华兴银行,不可转让,担保机构担保,融资性担保公司,4
金银猫,国资参股丰城市金银猫股权投资管理中心（有限合伙）等持有平台100%股份,上海·浦东,7.3%,2013-11-18,3000万元（实缴资金：1000万元）,用户资金存管存管机构为海口联合农商银行,不可转让,第三方担保、风险准备金,保险公司、保理公司、银行刚性兑付、质押票据由银行托管托收,3.6
网汇贷,民营系自然人股东,安徽·合肥,10.39%,2014-10-09,5207万元（实缴资金：5007万元）,用户资金存管存管机构为上饶银行,-,-,信息中介,4.2
玖融网,上市参股港股公司天鸽互动持有平台36%股份,湖北·武汉,9.58%,2013-07-18,2500万元,香港交易所股权代码01980.HK,支持,随时,第三方汽车公司回购，抵质押车辆变现,3.1
中潮金服,民营系,浙江·温州,14.92%,2015-12-28,10526万元（实缴资金：1000万元）,无存管,1个月,-,平台垫付,3.6
普惠理财,民营系,北京·东城,8.84%,2014-10-09,5000万元,用户资金存管存管机构为新网银行,1个月,金融机构担保,I2AR,2.8
众易贷,国资参股中新房河南绿色产业有限公司持有平台80%股份,河南·郑州,16.03%,2014-10-14,5001万元（实缴资金：3200万元）,用户资金存管存管机构为郑州银行,不可转让,-,用户利益保障机制,4.3
好好理财,国资控股同辉新能源开发有限公司持有平台100%股份,广东·深圳,11.86%,2015-05-15,5000万元（实缴资金：5000万元）,用户资金存管存管机构为渤海银行,不可转让,第三方担保,融资性担保公司,3.3
丁丁金服,风投系,山东·济南,11.73%,2013-07-25,5000万元（实缴资金：1000万元）,股权代码,支持,1个月,-,4
一点钱,民营系,广东·深圳,9.35%,2015-08-18,10000万元（实缴资金：5100万元）,用户资金存管存管机构为华兴银行,随时,资金托管,融资性担保公司,4.2
沪臣地方金融,民营系,上海·浦东,12.15%,2014-01-08,6000万元（实缴资金：6000万元）,用户资金存管存管机构为厦门国际银行,随时,VIP会员本息保障，非VIP会员本金保障,-,3.7
利得行,民营系,浙江·杭州,8.52%,2015-04-18,1110万元（实缴资金：1110万元）,用户资金存管存管机构为恒丰银行,不可转让,出口信用险、保理公司回购平台风险备付金,融资性担保公司、非融资性担保公司,4
金源贷,民营系,山东·青岛,11.27%,2014-05-07,2000万元,无存管,不可转让,-,-,3.2
金元宝理财,民营系,广东·深圳,12.03%,2013-12-01,5263万元（实缴资金：1743万元）,用户资金存管存管机构为遂宁银行,1个月,-,信息中介,4
鹏金所,上市参股A股公司海能达等共同共持有平台股份,广东·深圳,6.82%,2014-12-01,74749万元（实缴资金：74499万元）,股权代码,支持,随时,风险准备金,3.5
民投金服,国资控股大同经济发展投资有限公司持有平台41%股份,广东·深圳,8.76%,2015-01-08,15000万元（实缴资金：15000万元）,用户资金存管存管机构为平安银行,3个月,-,优质资产抵押,4.3
泰山金融,民营系,北京·海淀,8.12%,2015-01-08,5000万元,用户资金存管存管机构为华兴银行,随时,第三方保本保息,融资性担保公司,0.0点评人数不足点评赚金币
联连普金,上市参股A股公司中路股份持有平台19%股份,上海·浦东,13.88%,2015-12-18,5000万元（实缴资金：5000万元）,上证交易所股权代码600818,支持,随时,第三方公司担保,3.9
车e融,民营系,北京·海淀,10%,2015-08-01,6250万元（实缴资金：3000万元）,股权代码,不支持,不可转让,融资性公司担保（黑龙江泰达投资担保集团有限公司）,4.3
企额贷,民营系,上海·浦东,12.29%,2014-10-27,5000万元（实缴资金：1000万元）,无存管,3个月,-,抵押担保,4.3
工场微金,民营系,北京·朝阳,9.87%,2012-07-01,5000万元（实缴资金：5000万元）,用户资金存管存管机构为徽商银行,1个月,担保方提供连带保证责任担保,大型融资性担保公司或其他有担保实力的担保方,3.8
聚金资本,风投系,河南·郑州,13.02%,2014-06-26,10001万元（实缴资金：3976万元）,用户资金存管存管机构为中原银行,3个月,-,P2CN,4
快快贷,民营系,上海·浦东,8.96%,2014-06-10,20000万元（实缴资金：6042万元）,用户资金存管存管机构为江西银行,不可转让,"三重贷前审核,0四段式贷后管理体系,100％资金保障,第三方新浪资金托管",平台垫付,3.8
隆金宝,上市参股A股公司珠江控股等共同共持有平台股份,重庆·渝北,8.83%,2014-05-19,16750万元（实缴资金：5000万元）,股权代码000505,不支持,1个月,-,3.4
口贷网,国资参股深圳市创新投资集团有限公司持有平台股份,四川·成都,14%,2011-01-01,5500万元（实缴资金：5000万元）,用户资金存管存管机构为浙商银行,不可转让,抵押项目,非融资性担保公司、平台垫付,3.1
新富金融,民营系,广东·深圳,7.53%,2014-04-15,5000万元（实缴资金：3000万元）,无存管,3个月,私募集团风控+项目足值抵押+质保服务专款,平台垫付、足值抵押标的物,4.4
云钱袋,民营系,北京·朝阳,9.06%,2014-06-17,5000万元（实缴资金：5000万元）,用户资金存管存管机构为西安银行,-,公司自有资金保障,-,3.3
利聚网,民营系,湖南·长沙,13.23%,2014-11-27,1000万元（实缴资金：1000万元）,无存管,3个月,风险备用金,-,3.6
资本在线,民营系,广东·深圳,12.97%,2013-09-29,5000万元（实缴资金：5000万元）,无存管,不可转让,VIP百分百保本保息,供应链金融,3.8
永利宝,风投系,上海·浦东,6%,2013-11-01,5000万元（实缴资金：3000万元）,用户资金存管存管机构为平安银行,1个月,小额分散，大数据风控,-,3.6
e融所,上市参股A股公司方大集团持有平台10%股份,广东·深圳,12.53%,2015-12-30,10000万元（实缴资金：8750万元）,深圳证券交易所股权代码000055,支持,3个月,合作机构担保,3.7
融信网,国资参股北京云银科技有限公司持有平台5%股份,广东·深圳,11.26%,2013-03-05,10000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,不可转让,融资性担保公司,融资性担保公司,4.1
财小喵,民营系,广东·深圳,10.21%,2014-09-19,5000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,不可转让,-,第三方担保,3.8
财富派 (京),民营系自然人股东占股,北京·朝阳,7.12%,2015-08-01,2000万元（实缴资金：2000万元）,股权代码,不支持,3个月,无,3.7
喔喔贷,民营系,上海·浦东,9.89%,2015-01-11,3000万元（实缴资金：3000万元）,用户资金存管存管机构为江西银行,不可转让,抵押标的银行存管,网贷信息中介平台,4.6
今日捷财,上市参股A股公司西藏珠峰持有平台25%股份,上海·虹口,9.04%,2014-08-28,6600万元（实缴资金：6000万元）,上海证券交易所股权代码600338,支持,不可转让,资产管理方提供一定比例的风险保证金,3.8
财富智汇,民营系,江苏·徐州,15.97%,2015-12-18,5000万元（实缴资金：651万元）,无存管,随时,实物抵质押、担保人或合作机构逾期垫付、资产处置变现,"小额分散，实物抵质押，风险前置,，视频监控",4.1
智佳金服,民营系,广东·深圳,11.41%,2016-04-20,5000万元（实缴资金：5000万元）,深圳前海股权交易中心股权代码668391,不支持,不可转让,-,4.1
钱吧,民营系,山东·青岛,8.45%,2014-06-18,5000万元（实缴资金：2000万元）,用户资金存管存管机构为上海银行,1个月,抵押、质押；逾期启用风险准备金,风险备用金本金保障计划,3.2
人人融,民营系,重庆·渝北,9.1%,2014-07-13,3000万元（实缴资金：3000万元）,无存管,-,-,P2P,3
浙昌贷,民营系,浙江·金华,11.5%,2014-03-11,500万元,无存管,不可转让,-,-,0.0点评人数不足点评赚金币
广州e贷,上市参股A股公司达意隆持有平台10%股份,广东·广州,10.18%,2015-01-23,12000万元（实缴资金：3000万元）,深交所股权代码002209,支持,随时,根据项目不同提供担保、质押,4.3
洋葱先生,民营系,广东·深圳,8.73%,2015-07-21,10625万元（实缴资金：2763万元）,用户资金存管存管机构为海口联合农商银行,随时,合作第三方逾期代偿,合作第三方逾期代偿,4.4
惠投无忧,上市控股A股公司赛为智能持有平台100%股份,广东·深圳,9.89%,2015-08-08,2000万元（实缴资金：2000万元）,创业板股权代码300044,支持,1个月,合作机构债权回购,3.6
51帮你,民营系,浙江·杭州,11%,2012-08-15,5500万元（实缴资金：2000万元）,用户资金存管存管机构为海口联合农商银行,不可转让,风险准备金,-,3.7
壹宝贷,民营系,广东·广州,9.8%,2014-06-25,5000万元（实缴资金：1000万元）,广州股权交易中心股权代码896173,支持,3个月,第三方机构担保,4.1
旺财谷,民营系,北京·朝阳,7.89%,2014-07-08,1000万元,股权代码,支持,1个月,-,4.2
钱来也,民营系,河南·开封,11.25%,2016-03-24,10000万元（实缴资金：10000万元）,用户资金存管存管机构为郑州银行,1个月,风险备付金,互谅网金融理财平台,4.2
聚宝普惠,上市参股A股公司渤海金控持有平台股份,北京·朝阳,8.46%,2014-07-23,315804万元,深交所股权代码000415,支持,2个月,-,4.8
合力贷,风投系,北京·朝阳,11.02%,2012-09-17,5000万元（实缴资金：3325万元）,用户资金存管存管机构为海口联合农商银行,1个月,逾期代偿、抵押物变现及追偿,小贷公司、融资性担保公司,3.6
杉易贷,上市参股A股公司杉杉股份持有平台29.8%股份,广东·深圳,10.11%,2014-09-29,10110万元（实缴资金：10110万元）,主板股权代码600884,支持,7个月,第三方担保,3.6
投复利,民营系,湖北·武汉,17.15%,2014-12-29,1500万元（实缴资金：1500万元）,用户资金存管存管机构为恒丰银行,不可转让,所有会员保本保息,-,3.5
中金贷,民营系,北京·丰台,11.14%,2014-04-18,5000万元（实缴资金：1450万元）,用户资金存管存管机构为恒丰银行,不可转让,融资性担保公司,融资性担保公司,3.4
丰投网,民营系,上海·徐汇,9%,2014-12-01,1063万元,无存管,不可转让,-,-,0.0点评人数不足点评赚金币
中再融,民营系,北京·朝阳,10.78%,2016-03-23,10000万元（实缴资金：4400万元）,无存管,不可转让,第三方担保机构提供本息保障,小贷公司、融资性担保公司、非融资性担保公司,3.6
奇乐融,上市控股港股公司联想控股持有平台49%股份,安徽·合肥,6.89%,2015-10-28,3000万元（实缴资金：2000万元）,香港联交所股权代码3396.HK,支持,随时,实力第三方机构承担保证责任、蒲公英行动,4
易融恒信,民营系,湖北·武汉,14.35%,2013-11-11,1000万元（实缴资金：1000万元）,用户资金存管存管机构为恒丰银行,随时,-,车贷公司,3.6
钱满仓,上市参股A股公司天马股份持有平台股份,北京·海淀,8.53%,2015-02-02,5000万元（实缴资金：2500万元）,用户资金存管存管机构为江西银行,3个月,合作机构,合作机构,4.1
禾泰财富,民营系,江西·南昌,10.19%,2013-12-03,1000万元（实缴资金：1000万元）,股权代码,支持,不可转让,-,0.0点评人数不足点评赚金币
众贷汇,民营系,广东·深圳,10.84%,2015-07-07,3000万元（实缴资金：3000万元）,用户资金存管存管机构为重庆富民银行,不可转让,实物质押,平台+三方托管+四方存管,4.1
宝点网,民营系,四川·成都,12.24%,2012-08-06,5000万元（实缴资金：5000万元）,用户资金存管存管机构为浙江民泰商业银行,3个月,法律援助金、第三方机构担保、阳光财险安全保障,融资性担保公司、平台垫付,3.9
惠金贷,民营系,上海·浦东,14.16%,2015-10-10,10000万元（实缴资金：10000万元）,无存管,不可转让,汽车质押、风险准备金、先行本息垫付、合同诉讼险,平台垫付,4.2
小鸡理财,民营系,浙江·宁波,11.77%,2014-09-04,6000万元（实缴资金：6000万元）,用户资金存管存管机构为新网银行,不可转让,-,小贷公司、平台垫付,3.9
铜掌柜,上市参股A股公司中来股份持有平台28.5%股份,浙江·杭州,9.14%,2014-10-13,3158万元（实缴资金：3158万元）,深交所股权代码300393,支持,60个月,账户资金安全保障风险控制保障信息隐私安全保障信息系统安全保障法律权益保障,3.1
嘉石榴,上市控股港股公司卓尔集团持有平台90%股份,北京·朝阳,8.07%,2015-06-01,5000万元（实缴资金：5000万元）,港股上市股权代码02098,-,1个月,合作机构担保,4
果儿金融,民营系,安徽·合肥,9.79%,2015-06-16,3000万元（实缴资金：1000万元）,用户资金存管存管机构为上饶银行,随时,合作机构担保代偿,合作担保机构100％债权回购,4.6
量子金融,民营系,安徽·合肥,14.08%,2015-01-06,1000万元（实缴资金：1000万元）,用户资金存管存管机构为华兴银行,1个月,合作机构逾期债权回购,抵质押车辆变现、第三方汽车公司回购债权、向合作机构收取保证金,4
道口金融网,民营系,江西·南昌,10.95%,2014-08-01,1000万元（实缴资金：1000万元）,无存管,不可转让,风险准备金,平台垫付,2.6
紫金所,国资参股南京市紫金科技小额贷款有限公司等持有平台股份,江苏·南京,11%,2014-07-21,1000万元,用户资金存管存管机构为徽商银行,1个月,-,小贷公司、融资性担保公司,5
木头人,民营系,广东·东莞,10.42%,2014-09-26,1000万元（实缴资金：1000万元）,用户资金存管存管机构为海口联合农商银行,不可转让,木材质押,质押担保,4.9
改革牛,民营系,广东·深圳,11.11%,2016-10-21,3100万元,用户资金存管存管机构为重庆富民银行,不可转让,-,非融资性担保公司、保理公司,0.0点评人数不足点评赚金币
车行金服,民营系,广东·深圳,19.63%,2017-06-23,5000万元（实缴资金：2000万元）,无存管,随时,-,小贷公司,4.3
蜂投网,民营系,湖南·长沙,12.11%,2014-10-29,5000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,随时,-,小贷公司、融资性担保公司、投融资平台,4
脐橙金融,民营系,北京·东城,10.99%,2016-03-11,5000万元（实缴资金：5000万元）,用户资金存管存管机构为恒丰银行,不可转让,第三方资产处理,非融资性担保公司,3.6
车财网,民营系,四川·成都,14.13%,2015-10-19,5000万元（实缴资金：2000万元）,用户资金存管存管机构为海口联合农商银行,随时,-,平台垫付,3.8
悦享金服,上市控股大连天神娱乐股份有限公司占有平台股份51%,安徽·合肥,9.72%,2016-02-03,2000万元（实缴资金：1300万元）,深交所股权代码002354,支持,1个月,1、风控保障2、技术保障3、法律保障,4.6
森昊好时贷,民营系,上海·浦东,9.18%,2014-06-09,10000万元（实缴资金：10000万元）,无存管,1个月,风险备付金,-,4.3
四海众投,国资参股池州市天堂湖建设发展有限公司持有平台1%股份,安徽·合肥,10.04%,2015-07-18,5000万元（实缴资金：5000万元）,用户资金存管存管机构为上海银行,1个月,-,融资性担保公司、保理公司,4.5
国民丰泰,民营系,广东·深圳,10.24%,2014-12-19,1000万元,用户资金存管存管机构为贵州银行,不可转让,-,非融资性担保公司,3.6
壹佰金融,民营系,广东·深圳,10.21%,2015-06-15,5000万元（实缴资金：5000万元）,用户资金存管存管机构为徽商银行,1个月,担保公司担保,融资性担保公司、第三方机构保证金,3
皖乾商贷,民营系,安徽·合肥,15.95%,2015-03-09,5000万元,无存管,-,-,-,3.5
万富宝,民营系,河南·郑州,9.01%,2015-05-04,5000万元（实缴资金：5000万元）,用户资金存管存管机构为郑州银行,3个月,合作机构无条件回购,非融资性担保公司,4.4
邦帮堂,民营系,北京·朝阳,7.89%,2014-09-26,10000万元（实缴资金：5000万元）,用户资金存管存管机构为新网银行,随时,担保机构,担保机构,4.1
鄂汇金融,民营系,湖北·武汉,12.46%,2014-03-10,2000万元（实缴资金：2000万元）,用户资金存管存管机构为贵州银行,随时,-,融资租赁、抵质押,4
惠众金融,民营系,江西·赣州,10.78%,2013-03-20,5000万元（实缴资金：1000万元）,无存管,随时,24小时内会员本息垫付,风险准备金,4
易金智慧,国资参股新疆大晨报股份有限公司持有平台10%股份,新疆·乌鲁木齐,8.11%,2014-08-11,500万元（实缴资金：500万元）,无存管,随时,第三方公司提供担保,第三方公司提供担保,0.0点评人数不足点评赚金币
中融宝,民营系,山东·青岛,8.39%,2014-07-01,10000万元（实缴资金：6430万元）,用户资金存管存管机构为青岛银行,不可转让,质押、担保,抵质押物+担保,3.7
百泉贷,民营系,北京·海淀,13.28%,2014-12-08,1000万元（实缴资金：1000万元）,无存管,3个月,合作机构保障,融资性担保公司、实物质押,4.1
梦想盈行,国资控股六安市供销商业有限公司持有平台51%股份,安徽·合肥,9.3%,2015-02-01,5000万元（实缴资金：1227万元）,用户资金存管存管机构为浙商银行,1个月,担保公司本息全额担保,融资性担保公司,3.7
借贷之家,民营系,福建·厦门,10.56%,2014-11-30,6000万元（实缴资金：5000万元）,用户资金存管存管机构为厦门国际银行,1个月,债权收购机构承诺收购借款本息,非融资性担保公司,4.4
固金所,国资参股河南中原海云股权投资基金管理有限公司持有平台20%股份,广东·深圳,11.02%,2015-05-06,5000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,1个月,不良处理及回购承诺,小贷公司、融资性担保公司、非融资性担保公司、平台垫付,4.5
富金利,民营系,广东·深圳,14.26%,2015-08-31,11700万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,不可转让,第三方担保公司担保,融资性担保公司,4.6
陇e贷,国资控股甘肃省金融资本管理有限公司持有平台70%股份,甘肃·兰州,7.05%,2015-04-20,3000万元,用户资金存管存管机构为浙商银行,1个月,担保公司担保,融资性担保公司,3.5
鱼猫金服,民营系,北京·朝阳,10.84%,2015-01-28,5000万元（实缴资金：5000万元）,用户资金存管存管机构为新网银行,不可转让,第三方提供担保,供应链金融,3.7
长吉贷,民营系,吉林·长春,8.51%,2016-01-08,1000万元,无存管,不可转让,核心企业承付,信息中介，交易撮合,0.0点评人数不足点评赚金币
易享贷,民营系,广东·深圳,9.1%,2015-01-13,5000万元（实缴资金：2000万元）,股权代码,支持,不可转让,合作机构担保,4
安心投,民营系,北京·朝阳,8.46%,2015-07-16,2000万元（实缴资金：2000万元）,用户资金存管存管机构为江西银行,随时,-,非融资性担保公司,3.5
步步盈,民营系自然人及企业股东,安徽·合肥,8.16%,2014-07-10,10000万元（实缴资金：10000万元）,用户资金存管存管机构为新网银行,随时,由第三方机构对借贷标的进行担保,小贷公司、非融资性担保公司、平台垫付,3.8
乐投壹佰,民营系,北京·朝阳,9.29%,2014-03-21,1500万元（实缴资金：1000万元）,股权代码,-,不可转让,担保公司承担本息保证,4.1
瓯金所,民营系,浙江·温州,13.02%,2015-01-18,1000万元（实缴资金：1000万元）,无存管,不可转让,提供法律建议以及律师诉讼,非融资性担保公司,0.0点评人数不足点评赚金币
天玑汇富,国资参股长沙光源实业有限公司持有平台股份,广东·深圳,13.1%,2014-10-24,6000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,1个月,-,-,3.7
鲁金所,民营系,山东·青岛,9.94%,2015-09-01,10000万元（实缴资金：3000万元）,用户资金存管存管机构为贵州银行,不可转让,-,-,4.3
亿亿理财,民营系,上海·徐汇,9.19%,2016-01-01,10000万元（实缴资金：2345万元）,无存管,不可转让,-,小贷公司,4.5
万家贷,国资参股张家口市燃料公司持有平台49%股份,安徽·池州,9.78%,2015-05-18,5000万元（实缴资金：5000万元）,用户资金存管存管机构为宜宾市商业银行,随时,合作机构担保,1,3.5
甬e贷,民营系,浙江·宁波,11.06%,2015-11-02,5000万元（实缴资金：5000万元）,用户资金存管存管机构为江西银行,1个月,-,非融资性担保公司,3.5
e微贷,风投系,广东·深圳,10.91%,2014-03-20,5000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,不可转让,出租方回购保障，租赁受益权管理机构本息保障，银行存管、电子数据保全保障资金安全,融资租赁,3.9
车邦贷(浙),民营系,浙江·杭州,14.26%,2015-11-27,3100万元,用户资金存管存管机构为晋商银行,随时,银行存管风险备付金,-,3.4
易贷在线,民营系,浙江·宁波,18.31%,2014-11-11,3000万元（实缴资金：3000万元）,无存管,随时,VIP保本保息,平台垫付、债权转让、风险保证金（600万）,3.5
OK贷,民营系,四川·成都,12.5%,2014-12-21,1000万元,用户资金存管存管机构为新网银行,随时,第三方担保,第三方担保,4
雍和金融,民营系,北京·海淀,11.03%,2014-06-12,1000万元（实缴资金：1000万元）,用户资金存管存管机构为河北银行,不可转让,借款人提供足额抵/质押物；合作机构均为特许金融服务机构；资产管理公司承诺收购债权；,小贷公司、融资性担保公司、典当行,4.3
多宝贷,民营系,广东·东莞,10.71%,2014-10-16,1001万元,用户资金存管存管机构为新网银行,1个月,融资性担保公司本息保障,融资性担保公司、平台垫付,4
金财动力,国资参股深圳河洛天基控股有限公司持有平台35%股份,上海·浦东,9.47%,2015-07-10,5000万元,用户资金存管存管机构为上海银行,不可转让,国有第三方担保公司担保,-,0.0点评人数不足点评赚金币
元泰金服,民营系,浙江·杭州,8.88%,2016-04-06,10000万元（实缴资金：5000万元）,用户资金存管存管机构为恒丰银行,随时,风险准备金,-,4
诚成贷,民营系,北京·朝阳,7.13%,2015-01-09,5000万元（实缴资金：5000万元）,无存管,不可转让,-,-,0.0点评人数不足点评赚金币
信广立诚贷,民营系,北京·朝阳,7.97%,2014-10-08,5000万元（实缴资金：5000万元）,用户资金存管存管机构为徽商银行,随时,徽商银行资金存管,小贷公司,4.1
小树时代网贷,民营系,广东·深圳,14.21%,2015-03-15,2000万元（实缴资金：2000万元）,用户资金存管存管机构为上饶银行,3个月,第三方担保+第三方代偿,-,3.9
富春贷,民营系,浙江·杭州,11.57%,2014-08-08,3180万元,无存管,不可转让,风险准备金VIP保本保息,-,4
升值空间,民营系,北京·西城,10.44%,2016-01-08,2000万元（实缴资金：2000万元）,用户资金存管存管机构为天津金城银行,1个月,-,-,4.2
多赢普惠,民营系,广东·深圳,9.5%,2014-12-24,5000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,1个月,第三方机构代偿,融资性担保公司,4
京金所,民营系,北京·朝阳,9.44%,2014-12-09,1114万元（实缴资金：285万元）,用户资金存管存管机构为江西银行,随时,第三方担保,第三方担保,3.8
阿朋贷,民营系,北京·朝阳,10.58%,2014-01-25,5000万元（实缴资金：5000万元）,用户资金存管存管机构为徽商银行,1个月,无,十大安全保障,3.6
知财网,民营系,四川·成都,16.73%,2014-06-26,500万元（实缴资金：50万元）,用户资金存管存管机构为攀枝花市商业银行,随时,-,平台垫付,3.7
e葱金融,风投系,广东·深圳,8.6%,2016-03-01,5000万元（实缴资金：1000万元）,股权代码,支持,不可转让,-,4
金开贷,国资控股陕西金融控股集团有限公司持有平台56.25%股份,陕西·西安,7.38%,2014-05-26,8000万元,用户资金存管存管机构为西安银行,随时,项目保证金,融资性担保公司,3.3
东方汇,国资控股东方邦信融通控股股份有限公司等持有平台100%股份,上海·浦东,6.67%,2014-06-24,20000万元（实缴资金：10000万元）,用户资金存管存管机构为浙商银行,2个月,-,小贷公司,3.5
小富金融,民营系,湖北·武汉,12.29%,2014-05-08,5000万元（实缴资金：500万元）,无存管,随时,逾期次日本息垫付,-,2.4
恒大财富,民营系,山东·济南,10.59%,2014-12-31,5600万元（实缴资金：1000万元）,无存管,随时,-,-,3
新富创投,民营系,湖北·武汉,11.31%,2014-11-18,1000万元（实缴资金：1000万元）,股权代码,支持,随时,-,4.5
冰川财富,民营系,新疆·乌鲁木齐,9.74%,2015-06-15,1000万元（实缴资金：1000万元）,用户资金存管存管机构为新网银行,不可转让,第三方担保,融资性担保公司,4.3
财神在线（渝）,民营系,重庆·渝北,8.77%,2014-05-16,1000万元,无存管,-,-,融资性担保公司、平台垫付、保理公司、融资租赁、银行,4.1
千林贷,民营系,广东·深圳,11.35%,2014-11-03,10000万元,无存管,-,-,-,4.3
赢盈在线,民营系,江苏·苏州,9.39%,2016-07-07,3000万元（实缴资金：1000万元）,用户资金存管存管机构为昆山农商银行,随时,委托收款,赎楼垫资,3.8
